Unnamed: 0,id,country,year,wealth,wealthpooled,households,LATNUM,LONGNUM
1855,1855_Burkina Faso_2014,Burkina Faso,2014,-0.377184987,-0.235262275,26,12.658331,-1.788987
1856,1856_Burkina Faso_2014,Burkina Faso,2014,0.325069994,0.26710704,22,12.786244,-1.935514
1860,1860_Burkina Faso_2014,Burkina Faso,2014,0.3328996,0.483944982,25,14.449053,-0.229316
1863,1863_Burkina Faso_2014,Burkina Faso,2014,-0.956199586,-0.793067157,26,14.937079,-0.060751
1864,1864_Burkina Faso_2014,Burkina Faso,2014,-0.812906563,-0.650176406,26,13.801451,-0.062532
1866,1866_Burkina Faso_2014,Burkina Faso,2014,-0.840899587,-0.714707494,25,13.859187,0.053957
1867,1867_Burkina Faso_2014,Burkina Faso,2014,-0.795545757,-0.564467192,26,14.299464,0.251267
1868,1868_Burkina Faso_2014,Burkina Faso,2014,-0.730437696,-0.563355148,26,13.701328,0.169666
1871,1871_Burkina Faso_2014,Burkina Faso,2014,1.199127436,1.108427882,19,14.090275,-1.629203
1875,1875_Burkina Faso_2014,Burkina Faso,2014,-0.621905684,-0.397367716,23,14.046982,-1.187625
1876,1876_Burkina Faso_2014,Burkina Faso,2014,-0.629459202,-0.551181257,26,13.140968,0.932565
1878,1878_Burkina Faso_2014,Burkina Faso,2014,-0.689752698,-0.569679797,26,13.598933,0.697362
1879,1879_Burkina Faso_2014,Burkina Faso,2014,1.556026578,1.092190266,26,10.967332,-3.226072
1880,1880_Burkina Faso_2014,Burkina Faso,2014,-0.461613208,-0.511998355,25,10.959196,-3.330988
1881,1881_Burkina Faso_2014,Burkina Faso,2014,-0.425731242,-0.317978919,24,10.758178,-3.506331
1882,1882_Burkina Faso_2014,Burkina Faso,2014,-0.800935745,-0.847380102,26,10.371006,-2.858206
1883,1883_Burkina Faso_2014,Burkina Faso,2014,1.331609249,0.740497887,26,10.318937,-3.180329
1886,1886_Burkina Faso_2014,Burkina Faso,2014,-0.625642776,-0.656672001,25,10.103341,-3.307047
1887,1887_Burkina Faso_2014,Burkina Faso,2014,-0.006179598,0.051829983,25,10.475594,-3.60464
1888,1888_Burkina Faso_2014,Burkina Faso,2014,-0.551765025,-0.564053655,24,10.42224,-3.0685
1889,1889_Burkina Faso_2014,Burkina Faso,2014,-0.674742162,-0.674964964,23,10.198588,-3.359703
1892,1892_Burkina Faso_2014,Burkina Faso,2014,1.128254652,0.92661649,26,10.916413,-2.934902
1893,1893_Burkina Faso_2014,Burkina Faso,2014,-0.413849145,-0.489696234,23,11.046357,-3.153761
1894,1894_Burkina Faso_2014,Burkina Faso,2014,-0.23558417,-0.338776916,24,11.114889,-2.697395
1895,1895_Burkina Faso_2014,Burkina Faso,2014,-0.445753753,-0.378634512,24,11.019869,-2.763532
1896,1896_Burkina Faso_2014,Burkina Faso,2014,-0.662756801,-0.593846023,25,9.83694,-2.899175
1897,1897_Burkina Faso_2014,Burkina Faso,2014,-0.469142318,-0.567923129,26,10.153091,-2.90443
2948,2948_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.557429433,-1.041984558,34,0.220128,21.795078
2950,2950_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,3.033587456,1.578564525,34,-4.396131,15.352401
2952,2952_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.282064408,-0.606919408,34,-2.960349,28.527202
2954,2954_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,2.920537472,1.535031438,32,-4.338141,15.284108
2955,2955_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.385912061,-0.867312074,34,-4.886132,22.101688
2957,2957_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.490905881,-0.86905992,34,-1.40087,19.3659
2959,2959_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,3.040386677,2.020053148,34,0.518692,25.185529
2960,2960_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.134006172,-0.605796337,34,2.861207,30.537617
2961,2961_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.410394996,-0.893663585,34,-1.21853,29.556597
2962,2962_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.201647937,-0.685644805,34,0.357718,29.348242
2963,2963_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,1.317463994,0.507849455,33,0.536724,25.185831
2964,2964_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.439619124,-0.906805038,34,-3.968973,17.69172
2965,2965_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.400612056,-0.787664413,34,-12.174502,27.55686
2967,2967_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,0.978679717,0.131398514,34,-5.062523,18.812982
2968,2968_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.576852083,-0.978967428,34,-5.206358,21.430416
2971,2971_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.535018265,-0.987088144,34,-6.009008,23.364347
2972,2972_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.703299999,-1.01520896,34,1.140021,19.696474
2973,2973_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.431507051,-0.665747106,34,0.467484,25.530755
2974,2974_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.606237888,-1.072408199,33,-0.370282,22.222611
2975,2975_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.407430321,-0.677480817,31,-5.059481,15.126617
2976,2976_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.446810573,-0.754421532,34,1.839969,30.174864
2977,2977_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.409794718,-0.705979466,34,-6.493681,23.733355
2978,2978_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.500537574,-0.944907427,33,2.636267,27.112679
2979,2979_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,1.197814107,0.411963284,34,0.106999,29.295426
2980,2980_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.488836169,-0.876144767,34,-4.522512,17.758479
2981,2981_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,3.231525183,1.777972698,33,-4.388355,15.376346
2982,2982_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.482429415,-0.793282092,34,-8.281321,25.259371
2983,2983_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,0.284692049,-0.299054116,34,2.20298,22.468731
2985,2985_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.485429108,-0.887130737,34,-8.852534,25.712294
2986,2986_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.400262415,-0.787307024,33,3.354521,20.872855
2987,2987_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.364982635,-0.884383738,34,-10.152281,28.099922
2988,2988_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.345036179,-0.7448259,34,0.170512,29.364071
2990,2990_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.520161152,-1.026824594,34,-6.981143,17.389399
2991,2991_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,1.257385254,0.103220068,34,-1.672629,29.22092
2993,2993_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.514226496,-0.897177577,34,-9.444266,22.835696
2994,2994_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.070437059,-0.439046532,34,-0.745404,26.587506
3001,3001_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,0.065509371,-0.444526792,32,-2.165293,16.232211
3003,3003_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.388557345,-0.774148166,34,-2.256134,26.263119
3005,3005_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.346053809,-0.878290653,34,-1.496613,16.839366
3007,3007_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,1.252211809,0.21147716,34,0.13296,29.290535
3009,3009_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.489128828,-0.97093302,34,-6.535452,21.041913
3011,3011_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.521606147,-0.879181623,31,-1.879814,24.230138
3012,3012_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,1.342521191,0.519750535,34,-4.326976,15.358809
3013,3013_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.549972355,-0.926492035,34,2.035945,20.18949
3016,3016_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.57742703,-1.046743155,34,-6.978487,27.520086
3017,3017_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.399815589,-0.762838423,34,-4.8362,18.746432
3019,3019_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.545963824,-0.876402795,34,-1.635467,19.93892
3020,3020_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.377510011,-0.622221887,34,-4.035079,29.087154
3022,3022_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.539167941,-0.879769087,34,0.297361,18.555608
3024,3024_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.560152054,-1.007382393,34,-6.756766,29.477363
3025,3025_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.527154148,-1.088079214,34,-6.60255,22.425491
3026,3026_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.530820012,-0.946876585,34,3.319467,20.329987
3028,3028_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.1587753,-0.853323221,34,-1.694769,29.062303
3029,3029_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.516374111,-0.990817785,34,-7.280007,18.894944
3030,3030_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.546800911,-0.809724391,34,2.274913,30.728031
3032,3032_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.364033222,-0.839866281,34,-5.405974,14.835362
3034,3034_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.294153541,-0.639132261,34,0.007725,29.147468
3036,3036_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.269910008,-0.894169629,33,-10.000968,25.845801
3037,3037_Democratic Republic of Congo_2014,Democratic Republic of Congo,2014,-0.124509998,-0.781590939,29,-5.858522,22.381992
3038,3038_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.620609045,-0.902699947,32,-0.094932,29.036395
3039,3039_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.23659265,-0.616102636,34,-1.909008,16.564669
3040,3040_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,0.390310913,-0.458410025,33,-5.925454,22.41119
3041,3041_Democratic Republic of Congo_2013,Democratic Republic of Congo,2013,-0.534617782,-0.991443574,32,-6.679401,17.684525
